feature,coefficient,abs_coefficient
num_tag_count,-1.9478891363235848,1.9478891363235848
num_tags_in_title,-1.5072756378447851,1.5072756378447851
cat_category_People & Blogs,-1.383047173895652,1.383047173895652
cat_category_Gaming,1.2165735378284972,1.2165735378284972
cat_category_Education,-1.0263076422571984,1.0263076422571984
cat_time_period_morning,-1.0137476618010863,1.0137476618010863
cat_category_Music,0.9332280375767252,0.9332280375767252
cat_category_Howto & Style,-0.8902111777549482,0.8902111777549482
cat_category_News & Politics,0.7146497108155299,0.7146497108155299
cat_time_period_dawn,0.6645163399584335,0.6645163399584335
cat_category_Sports,0.6360276261736922,0.6360276261736922
cat_category_Science & Technology,-0.46312011510371726,0.46312011510371726
cat_category_Comedy,0.4159431031844105,0.4159431031844105
cat_category_Unknown,-0.3751001437778245,0.3751001437778245
cat_category_Film & Animation,0.303031016856468,0.303031016856468
cat_category_Travel & Events,-0.29251209764484026,0.29251209764484026
num_hour,0.2858908943282554,0.2858908943282554
num_title_length,-0.24531637516560018,0.24531637516560018
cat_category_Entertainment,0.21622325474906967,0.21622325474906967
cat_time_period_evening,0.1998031961350593,0.1998031961350593
cat_category_Autos & Vehicles,0.18817741880207547,0.18817741880207547
cat_category_Nonprofits & Activism,-0.14630728818497496,0.14630728818497496
cat_time_period_afternoon,0.1391182715685318,0.1391182715685318
num_question_exclamation_count,0.09504786735129901,0.09504786735129901
num_is_weekend,0.080812066272231,0.080812066272231
cat_category_Pets & Animals,-0.05755792150635649,0.05755792150635649
