variable,coefficient,std_err,p_value,is_significant
Intercept,0.6967974237856176,0.13395372936295852,2.054122450910729e-07,True
category_1[T.True],0.009517262219950917,0.04160673493206001,0.8190779518991529,False
category_2[T.True],0.01132916821689943,0.04698136564406459,0.8094553266514629,False
category_10[T.True],-0.020783941846826637,0.02799468603964489,0.45786565018981407,False
category_15[T.True],0.01105751396103094,0.0793446029724944,0.8891708925316584,False
category_17[T.True],-0.047258138652659765,0.03047613095056583,0.12104742655668357,False
category_19[T.True],0.1137952142957328,0.04693958870670394,0.015374166948452667,True
category_20[T.True],0.03905733714418386,0.019888679214118122,0.049609894798366964,True
category_22[T.True],0.04261875414653682,0.023370471519142247,0.06827094843051076,False
category_23[T.True],0.059214689570321166,0.02555512463808203,0.020537253311443467,True
category_25[T.True],-0.045573058521284016,0.05049847284347568,0.36685462880120223,False
category_26[T.True],0.06433105206877432,0.0331268834864081,0.052199140059820334,False
category_27[T.True],0.07286656665178781,0.038099507235161985,0.0558659437924619,False
category_28[T.True],0.06127319013979243,0.03692775667038696,0.09712483454614215,False
category_29[T.True],0.14747219717210014,0.04289736465784829,0.0005913479594645311,True
period_Dawn[T.True],0.029289257687208747,0.020436787523315323,0.15187475117220697,False
period_Evening[T.True],0.0017960123031154074,0.015571317731322056,0.9081795074587712,False
period_Morning[T.True],0.018608651362880736,0.03167627421165867,0.556919529768889,False
is_weekend[T.True],0.01838302321916238,0.014379442523647446,0.20116038553749557,False
title_has_punct[T.True],-0.013753969106169994,0.01499218853257579,0.35897337573136534,False
title_upper_ratio,0.03981305623332776,0.03650546625651645,0.2755000657565535,False
log_channel_activity,-0.09359894403051801,0.012837632340139215,3.568230159069103e-13,True
log_channel_avg_views,0.9472771927232504,0.00955906683701506,0.0,True
log_channel_avg_comment_count,-2.5703831697263873,1.4735013101955288,0.08115101339415297,False
log_tags_count,-0.008619625812202027,0.00877742799080814,0.32613745404425865,False
tag_density,0.05276792202790859,0.029728956653237198,0.07596521042576704,False
log_desc_length,0.00912184881323752,0.0046050578110828294,0.04766572416437895,True
desc_has_timestamp,-0.013688882473846614,0.02534324825068253,0.5891255035499681,False
desc_keyword_count,0.0033807593659605922,0.00798030230754695,0.671848377662631,False
